Timestamp,Please enter your age:,Please Choose your gender:,Marital Status:,What is your profession?,What is your monthly income?,How would you describe your family?,What is the total number of members in your family?,"What is the approximate ""average"" age of your family?",The number of Adults in your family,The number of Children in your family,How would you describe your area of residence?,How many people earn for your family?,What is your family's monthly income?,Has any of your family members contracted COVID-19?,Have you lost any family member(s) due to COVID-19?,How would you describe the ease of access to the nearest medical support from your area of residence?,How would you describe the feeling of love in your family?,The lockdown period has allowed your family members to enjoy the time they spend together.,Your family is satisfied with how things are during lockdown.,Your family is thankful with what they have during the lockdown period.,Do you sense fear within the family?,Do you sense anxiety within the family?,How often do fights break out between family members?,Your family members understand and respect each others personal privacy.,What are your Family Reactions whenever a difficult situation arises?,What is the general reaction of the family when there is some form of good news?
8/10/2021 23:39:28,33,Male,Married,Employed,Decline to respond,Nuclear Family,5,44,4,1,Urban Area,4,Decline to respond,No,No,Close but Hard to Manage,It is the same as before the lockdown period,Strongly Agree,Agree,Agree,I do feel it sometimes.,I do feel it sometimes.,There hasn't been any major issue that would cause a fight.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/11/2021 1:52:47,22,Male,Married,Employed,"10,000 - 39,000 BDT",Extended Family,6,33,6,0,Suburban Area,3,"70,000 - 100,000 BDT",No,No,Close & Manageable.,It is the same as before the lockdown period,Agree,Neutral,Agree,I do feel it sometimes.,I do feel it sometimes.,There hasn't been any major issue that would cause a fight.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/11/2021 2:08:10,22,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,5,35,5,0,Rural Area,2,"40,000 - 69,999 BDT",No,No,Close but Hard to Manage,It has slightly increased during the lockdown period,Disagree,Disagree,Disagree,I do feel it sometimes.,I do feel it sometimes.,Problems are often resolved before fights break out.,Strongly Agree,Usually leave it to the elders of the family to deal with it.,There is very little celebration on such occasions.
8/11/2021 2:42:36,21,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,30,3,1,Urban Area,1,"40,000 - 69,999 BDT",Yes,No,Close but Hard to Manage,It is the same as before the lockdown period,Agree,Strongly Disagree,Strongly Disagree,I do feel it sometimes.,I do feel it sometimes.,There hasn't been any major issue that would cause a fight.,Neutral,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/11/2021 3:33:06,23,Male,Unmarried,Employed,"More than 100,000 BDT",Nuclear Family,5,35,5,0,Suburban Area,2,"More than 100,000 BDT",No,No,Close & Manageable.,It is the same as before the lockdown period,Neutral,Disagree,Agree,I do feel it most of the time.,I do feel it most of the time.,Fights are very often.,Disagree,Things are always out of control. No one is responsible at times like these.,We all celebrate together and hope for an even better thing in the future.
8/11/2021 8:04:06,23,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,5,30,3,2,Suburban Area,1,"10,000 - 39,000 BDT",No,No,Close but Hard to Manage,It has slightly increased during the lockdown period,Neutral,Strongly Disagree,Neutral,I haven't paid attention.,I do feel it sometimes.,There hasn't been any major issue that would cause a fight.,Agree,Things get a bit uneasy at times but we try our best to deal with the situation,There is very little celebration on such occasions.
8/11/2021 15:03:05,22,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,5,30,4,1,Urban Area,2,"40,000 - 69,999 BDT",No,No,Close & Manageable.,It has slightly increased during the lockdown period,Strongly Agree,Agree,Strongly Agree,I do feel it sometimes.,I haven't paid attention.,There hasn't been any major issue that would cause a fight.,Agree,Usually leave it to the elders of the family to deal with it.,There is very little celebration on such occasions.
8/11/2021 15:33:49,25,Male,Married,Employed,"10,000 - 39,000 BDT",Nuclear Family,5,35,5,0,Urban Area,2,"70,000 - 100,000 BDT",Asymptomatic,No,Close & Manageable.,It has increased a lot during the lockdown period,Agree,Agree,Agree,I do feel it sometimes.,I do feel it sometimes.,There hasn't been any major issue that would cause a fight.,Agree,Usually leave it to the elders of the family to deal with it.,There is very little celebration on such occasions.
8/11/2021 23:30:59,21,Male,Unmarried,Student,I do not have any income at the moment,Extended Family,6,45,6,6,Urban Area,1,"40,000 - 69,999 BDT",Yes,Yes,Close but Hard to Manage,It has increased a lot during the lockdown period,Strongly Agree,Neutral,Neutral,Not at all.,Not at all.,There hasn't been any major issue that would cause a fight.,Strongly Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/12/2021 0:28:28,20,Female,Married,Student,I do not have any income at the moment,Nuclear Family,4,38,4,1,Suburban Area,1,"40,000 - 69,999 BDT",No,No,Close & Manageable.,It is the same as before the lockdown period,Strongly Agree,Agree,Agree,I do feel it most of the time.,Not at all.,Fights are very often.,Strongly Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/12/2021 20:21:44,18,Male,Married,Student,I do not have any income at the moment,Extended Family,6,43,5,1,Urban Area,1,"70,000 - 100,000 BDT",Yes,No,Far but Hard to Manage,It has increased a lot during the lockdown period,Strongly Agree,Strongly Agree,Strongly Agree,Not at all.,Not at all.,There hasn't been any major issue that would cause a fight.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/12/2021 22:32:50,23,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,6,45,5,1,Urban Area,1,Decline to respond,No,No,Close & Manageable.,It has increased a lot during the lockdown period,Neutral,Neutral,Agree,Not at all.,Not at all.,I haven't paid attention.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/12/2021 22:35:22,23,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,3,30,35,23,Urban Area,1,"40,000 - 69,999 BDT",No,No,Far but Hard to Manage,It has increased a lot during the lockdown period,Strongly Agree,Strongly Agree,Strongly Agree,Not at all.,Not at all.,There hasn't been any major issue that would cause a fight.,Strongly Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/12/2021 23:24:35,38,Male,Married,Employed,"40,000 - 69,999 BDT",Nuclear Family,6,25,4,3,Urban Area,1,"40,000 - 69,999 BDT",No,No,Far but Manageable,It is the same as before the lockdown period,Agree,Neutral,Agree,I do feel it most of the time.,I do feel it sometimes.,There hasn't been any major issue that would cause a fight.,Agree,Things get a bit uneasy at times but we try our best to deal with the situation,We all celebrate together and hope for an even better thing in the future.
8/14/2021 0:26:06,19,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,5,40,5,2,Urban Area,1,"Less than 10,000 BDT",Yes,No,Close but Hard to Manage,It has slightly increased during the lockdown period,Agree,Disagree,Neutral,I do feel it sometimes.,I do feel it sometimes.,Problems are often resolved before fights break out.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,There is very little celebration on such occasions.
8/14/2021 0:38:47,24,Male,Unmarried,Student,"Less than 10,000 BDT",Nuclear Family,4,20,2,0,Urban Area,2,"Less than 10,000 BDT",Yes,No,Close & Manageable.,It has slightly decreased during the lockdown period,Disagree,Disagree,Agree,I do feel it most of the time.,I do feel it sometimes.,There are fights sometimes.,Neutral,Things get a bit uneasy at times but we try our best to deal with the situation,There is very little celebration on such occasions.
8/14/2021 0:40:45,32,Male,Divorced,Personal Business,"More than 100,000 BDT",Nuclear Family,4,36,4,0,Urban Area,2,"More than 100,000 BDT",No,No,Close but Hard to Manage,It has slightly decreased during the lockdown period,Strongly Disagree,Strongly Disagree,Neutral,I do feel it sometimes.,I do feel it sometimes.,Fights are very often.,Strongly Disagree,Things are always out of control. No one is responsible at times like these.,We all celebrate together and hope for an even better thing in the future.
8/14/2021 0:43:01,23,Female,Unmarried,Student,"Less than 10,000 BDT",Nuclear Family,3,42,3,0,Suburban Area,3,"70,000 - 100,000 BDT",No,No,Close & Manageable.,It has decreased a lot during the lockdown period,Strongly Disagree,Strongly Disagree,Agree,I do feel it most of the time.,I do feel it most of the time.,Fights are very often.,Strongly Disagree,Things are always out of control. No one is responsible at times like these.,There is almost no reaction at all.
8/14/2021 0:45:15,23,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,30,4,0,Suburban Area,3,"40,000 - 69,999 BDT",Yes,No,Far but Hard to Manage,It has slightly decreased during the lockdown period,Agree,Neutral,Disagree,I don't feel like there is.,I don't feel like there is.,There are fights sometimes.,Neutral,Things get a bit uneasy at times but we try our best to deal with the situation,There is very little celebration on such occasions.
8/14/2021 0:46:19,23,Male,Unmarried,Student,"Less than 10,000 BDT",Nuclear Family,4,35,2,0,Urban Area,3,"More than 100,000 BDT",No,No,Close & Manageable.,It has increased a lot during the lockdown period,Strongly Agree,Strongly Agree,Strongly Agree,Not at all.,Not at all.,There hasn't been any major issue that would cause a fight.,Strongly Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/14/2021 0:48:45,21,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,6,34,6,3,Urban Area,1,"70,000 - 100,000 BDT",Yes,No,Close & Manageable.,It has increased a lot during the lockdown period,Agree,Agree,Agree,Not at all.,Not at all.,Problems are often resolved before fights break out.,Strongly Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/14/2021 0:48:52,22,Male,Decline to respond,Student,Decline to respond,Nuclear Family,5,35,5,0,Rural Area,0,Decline to respond,No,No,Close & Manageable.,It is the same as before the lockdown period,Neutral,Neutral,Neutral,I do feel it sometimes.,I do feel it sometimes.,Fights are very often.,Agree,Things get a bit uneasy at times but we try our best to deal with the situation,There is almost no reaction at all.
8/14/2021 0:51:48,20,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,39,4,2,Urban Area,3,"70,000 - 100,000 BDT",No,No,Close but Hard to Manage,It has increased a lot during the lockdown period,Strongly Agree,Disagree,Disagree,I do feel it sometimes.,I do feel it most of the time.,There hasn't been any major issue that would cause a fight.,Strongly Agree,Things get a bit uneasy at times but we try our best to deal with the situation,We all celebrate together and hope for an even better thing in the future.
8/14/2021 0:52:19,22,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,50,4,0,Rural Area,1,"Less than 10,000 BDT",Yes,No,Close & Manageable.,It has increased a lot during the lockdown period,Strongly Agree,Agree,Neutral,I don't feel like there is.,Not at all.,I haven't paid attention.,Agree,Usually leave it to the elders of the family to deal with it.,There is almost no reaction at all.
8/14/2021 0:56:17,22,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,3,40,3,0,Rural Area,1,"10,000 - 39,000 BDT",Asymptomatic,No,Close & Manageable.,It is the same as before the lockdown period,Agree,Neutral,Neutral,I do feel it sometimes.,I do feel it sometimes.,Problems are often resolved before fights break out.,Neutral,Things get a bit uneasy at times but we try our best to deal with the situation,There is very little celebration on such occasions.
8/14/2021 0:57:26,22,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,5,30,4,3,Suburban Area,1,"10,000 - 39,000 BDT",Yes,No,Close but Hard to Manage,It has slightly decreased during the lockdown period,Neutral,Disagree,Strongly Agree,I do feel it sometimes.,I do feel it most of the time.,Problems are often resolved before fights break out.,Strongly Disagree,Things get a bit uneasy at times but we try our best to deal with the situation,There is very little celebration on such occasions.
8/14/2021 1:03:20,22,Female,Unmarried,Student,"Less than 10,000 BDT",Nuclear Family,5,45,4,1,Urban Area,2,"10,000 - 39,000 BDT",Yes,No,Close & Manageable.,It has slightly increased during the lockdown period,Agree,Neutral,Agree,I do feel it sometimes.,I do feel it sometimes.,Fights are very often.,Strongly Disagree,Things get a bit uneasy at times but we try our best to deal with the situation,We all celebrate together and hope for an even better thing in the future.
8/14/2021 1:03:39,23,Female,Unmarried,Student,I do not have any income at the moment,Extended Family,7,30,5,2,Urban Area,2,"40,000 - 69,999 BDT",Asymptomatic,No,Close & Manageable.,It is the same as before the lockdown period,Neutral,Neutral,Agree,I don't feel like there is.,Not at all.,Problems are often resolved before fights break out.,Neutral,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/14/2021 1:13:47,24,Male,Unmarried,Student,"Less than 10,000 BDT",Nuclear Family,5,30,2,1,Rural Area,1,"10,000 - 39,000 BDT",Yes,No,Close but Hard to Manage,It has slightly decreased during the lockdown period,Disagree,Strongly Disagree,Strongly Disagree,I do feel it sometimes.,I do feel it sometimes.,Problems are often resolved before fights break out.,Agree,Usually leave it to the elders of the family to deal with it.,There is almost no reaction at all.
8/14/2021 1:17:45,21,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,3,55,3,0,Urban Area,2,"40,000 - 69,999 BDT",No,No,Close & Manageable.,It has increased a lot during the lockdown period,Agree,Agree,Agree,I don't feel like there is.,Not at all.,There hasn't been any major issue that would cause a fight.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,There is very little celebration on such occasions.
8/14/2021 1:26:35,24,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,5,25,5,3,Urban Area,1,"70,000 - 100,000 BDT",Yes,No,Close & Manageable.,It is the same as before the lockdown period,Agree,Agree,Agree,I do feel it sometimes.,Not at all.,There hasn't been any major issue that would cause a fight.,Strongly Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/14/2021 1:28:52,21,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,35,4,0,Urban Area,1,"40,000 - 69,999 BDT",No,No,Close & Manageable.,It has increased a lot during the lockdown period,Strongly Agree,Disagree,Neutral,Not at all.,Not at all.,There hasn't been any major issue that would cause a fight.,Strongly Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/14/2021 1:44:17,23,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,60,2,0,Suburban Area,0,Decline to respond,No,No,Close & Manageable.,It is the same as before the lockdown period,Disagree,Neutral,Neutral,Not at all.,I haven't paid attention.,Fights are very often.,Neutral,Things are always out of control. No one is responsible at times like these.,There is almost no reaction at all.
8/14/2021 1:57:41,23,Male,Decline to respond,Student,I do not have any income at the moment,Nuclear Family,4,41,4,0,Urban Area,1,Decline to respond,No,No,Close but Hard to Manage,It is the same as before the lockdown period,Neutral,Neutral,Neutral,I haven't paid attention.,I haven't paid attention.,There hasn't been any major issue that would cause a fight.,Agree,Usually leave it to the elders of the family to deal with it.,There is almost no reaction at all.
8/14/2021 3:02:39,24,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,10,35,8,2,Urban Area,2,"10,000 - 39,000 BDT",No,No,Close but Hard to Manage,It has slightly increased during the lockdown period,Agree,Disagree,Neutral,I do feel it sometimes.,I do feel it sometimes.,Problems are often resolved before fights break out.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,There is very little celebration on such occasions.
8/14/2021 3:21:10,26,Male,Unmarried,Student,"Less than 10,000 BDT",Extended Family,6,39,5,1,Urban Area,2,"40,000 - 69,999 BDT",Yes,No,Far but Manageable,It has slightly decreased during the lockdown period,Neutral,Disagree,Disagree,I do feel it sometimes.,I do feel it sometimes.,There are fights sometimes.,Neutral,Usually leave it to the elders of the family to deal with it.,There is very little celebration on such occasions.
8/14/2021 8:04:24,24,Male,Unmarried,Employed,"Less than 10,000 BDT",Nuclear Family,3,37,1,0,Urban Area,2,"70,000 - 100,000 BDT",No,No,Close & Manageable.,It has slightly increased during the lockdown period,Strongly Agree,Disagree,Agree,I don't feel like there is.,I don't feel like there is.,There are fights sometimes.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/14/2021 8:12:43,23,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,30,2,2,Urban Area,1,"70,000 - 100,000 BDT",No,No,Close & Manageable.,It has increased a lot during the lockdown period,Strongly Agree,Neutral,Neutral,I don't feel like there is.,I do feel it sometimes.,There hasn't been any major issue that would cause a fight.,Agree,Usually leave it to the elders of the family to deal with it.,We all celebrate together and hope for an even better thing in the future.
8/14/2021 8:30:13,23,Female,Married,Student,I do not have any income at the moment,Extended Family,7,40,6,2,Urban Area,4,"More than 100,000 BDT",No,No,Close but Hard to Manage,It has slightly increased during the lockdown period,Agree,Disagree,Strongly Agree,Not at all.,I don't feel like there is.,Problems are often resolved before fights break out.,Agree,Usually leave it to the elders of the family to deal with it.,We all celebrate together and hope for an even better thing in the future.
8/14/2021 8:59:11,23,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,5,31.4,4,1,Suburban Area,1,"10,000 - 39,000 BDT",No,No,Close & Manageable.,It has slightly increased during the lockdown period,Neutral,Strongly Disagree,Disagree,I do feel it sometimes.,I do feel it sometimes.,There hasn't been any major issue that would cause a fight.,Agree,Things get a bit uneasy at times but we try our best to deal with the situation,We all celebrate together and hope for an even better thing in the future.
8/14/2021 9:21:39,23,Female,Unmarried,Student,"Less than 10,000 BDT",Nuclear Family,6,27.66,4,2,Suburban Area,1,"10,000 - 39,000 BDT",No,No,Close but Hard to Manage,It is the same as before the lockdown period,Strongly Agree,Disagree,Agree,Not at all.,Not at all.,There are fights sometimes.,Neutral,Things get a bit uneasy at times but we try our best to deal with the situation,We all celebrate together and hope for an even better thing in the future.
8/14/2021 9:26:45,22,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,6,30,5,1,Urban Area,1,"40,000 - 69,999 BDT",No,No,Close & Manageable.,It has slightly increased during the lockdown period,Neutral,Neutral,Strongly Agree,Not at all.,Not at all.,There hasn't been any major issue that would cause a fight.,Strongly Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,There is very little celebration on such occasions.
8/14/2021 10:08:14,22,Male,Unmarried,Student,"10,000 - 39,000 BDT",Nuclear Family,4,30,4,0,Urban Area,3,"More than 100,000 BDT",No,No,Close & Manageable.,It is the same as before the lockdown period,Neutral,Disagree,Disagree,I do feel it sometimes.,I do feel it sometimes.,There hasn't been any major issue that would cause a fight.,Strongly Agree,Usually leave it to the elders of the family to deal with it.,We all celebrate together and hope for an even better thing in the future.
8/14/2021 10:14:04,23,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,3,40,3,0,Urban Area,2,"70,000 - 100,000 BDT",Asymptomatic,No,Close but Hard to Manage,It is the same as before the lockdown period,Strongly Agree,Disagree,Neutral,I do feel it sometimes.,I do feel it sometimes.,Problems are often resolved before fights break out.,Agree,Things get a bit uneasy at times but we try our best to deal with the situation,We all celebrate together and hope for an even better thing in the future.
8/14/2021 10:16:21,21,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,5,21,4,1,Suburban Area,1,"10,000 - 39,000 BDT",No,No,Close but Hard to Manage,It is the same as before the lockdown period,Agree,Neutral,Neutral,Not at all.,Not at all.,There are fights sometimes.,Agree,Usually leave it to the elders of the family to deal with it.,There is very little celebration on such occasions.
8/14/2021 11:39:27,22,Male,Unmarried,Student,"Less than 10,000 BDT",Nuclear Family,5,45,4,1,Urban Area,1,"10,000 - 39,000 BDT",No,No,Close but Hard to Manage,It is the same as before the lockdown period,Neutral,Neutral,Strongly Disagree,Not at all.,I don't feel like there is.,There hasn't been any major issue that would cause a fight.,Agree,Usually leave it to the elders of the family to deal with it.,There is very little celebration on such occasions.
8/14/2021 12:00:58,20,Female,Unmarried,Student,"Less than 10,000 BDT",Nuclear Family,3,61,65,0,Urban Area,1,"40,000 - 69,999 BDT",No,No,Far but Manageable,It is the same as before the lockdown period,Neutral,Neutral,Neutral,Not at all.,I do feel it sometimes.,Problems are often resolved before fights break out.,Strongly Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,There is very little celebration on such occasions.
8/14/2021 12:30:35,22,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,5,35,4,1,Urban Area,3,"More than 100,000 BDT",Yes,Yes,Close & Manageable.,It is the same as before the lockdown period,Agree,Disagree,Neutral,Not at all.,I do feel it sometimes.,There are fights sometimes.,Disagree,Things get a bit uneasy at times but we try our best to deal with the situation,There is very little celebration on such occasions.
8/14/2021 12:37:49,23,Female,Widowed,Unemployed,I do not have any income at the moment,Nuclear Family,5,24,3,0,Urban Area,1,"40,000 - 69,999 BDT",Yes,Yes,Close & Manageable.,It has slightly increased during the lockdown period,Agree,Agree,Disagree,I do feel it sometimes.,I do feel it most of the time.,There are fights sometimes.,Disagree,Things are always out of control. No one is responsible at times like these.,There is almost no reaction at all.
8/14/2021 12:38:14,19,Male,Divorced,Personal Business,"More than 100,000 BDT",Nuclear Family,5,30,4,3,Urban Area,2,"More than 100,000 BDT",Yes,No,Close & Manageable.,It has slightly decreased during the lockdown period,Strongly Agree,Agree,Disagree,I haven't paid attention.,I do feel it sometimes.,There are fights sometimes.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,There is almost no reaction at all.
8/14/2021 12:39:50,21,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,34.5,3,1,Urban Area,1,"40,000 - 69,999 BDT",No,No,Close but Hard to Manage,It has increased a lot during the lockdown period,Strongly Agree,Disagree,Strongly Agree,I do feel it most of the time.,I don't feel like there is.,There hasn't been any major issue that would cause a fight.,Strongly Agree,Usually leave it to the elders of the family to deal with it.,We all celebrate together and hope for an even better thing in the future.
8/14/2021 12:41:36,22,Male,Unmarried,Student,"70,000 - 100,000 BDT",Nuclear Family,4,55,2,1,Urban Area,1,"70,000 - 100,000 BDT",No,No,Close & Manageable.,It has increased a lot during the lockdown period,Agree,Neutral,Agree,I do feel it sometimes.,I do feel it sometimes.,I haven't paid attention.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/14/2021 12:54:33,24,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,5,35.5,4,1,Urban Area,1,"More than 100,000 BDT",Yes,No,Close & Manageable.,It is the same as before the lockdown period,Agree,Agree,Agree,I don't feel like there is.,Not at all.,I haven't paid attention.,Agree,Usually leave it to the elders of the family to deal with it.,There is very little celebration on such occasions.
8/14/2021 13:31:49,26,Male,Unmarried,Employed,"10,000 - 39,000 BDT",Nuclear Family,5,50,5,0,Urban Area,3,"More than 100,000 BDT",No,No,Far but Manageable,It is the same as before the lockdown period,Neutral,Neutral,Disagree,I do feel it sometimes.,Not at all.,There hasn't been any major issue that would cause a fight.,Strongly Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/14/2021 13:45:43,22,Female,Unmarried,Student,I do not have any income at the moment,Extended Family,8,27,6,2,Urban Area,1,"40,000 - 69,999 BDT",Asymptomatic,No,Close & Manageable.,It has increased a lot during the lockdown period,Agree,Neutral,Neutral,I do feel it sometimes.,I do feel it most of the time.,There hasn't been any major issue that would cause a fight.,Neutral,Usually leave it to the elders of the family to deal with it.,We all celebrate together and hope for an even better thing in the future.
8/14/2021 14:59:22,23,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,5,38.4,5,0,Urban Area,1,"40,000 - 69,999 BDT",Yes,No,Far but Manageable,It has slightly increased during the lockdown period,Agree,Agree,Agree,I do feel it most of the time.,I do feel it most of the time.,There are fights sometimes.,Strongly Disagree,Things get a bit uneasy at times but we try our best to deal with the situation,We all celebrate together and hope for an even better thing in the future.
8/14/2021 15:21:05,24,Male,Unmarried,Unemployed,I do not have any income at the moment,Nuclear Family,4,25,4,0,Urban Area,1,"10,000 - 39,000 BDT",Yes,No,Close but Hard to Manage,It is the same as before the lockdown period,Neutral,Neutral,Neutral,I haven't paid attention.,I haven't paid attention.,I haven't paid attention.,Neutral,Things get a bit uneasy at times but we try our best to deal with the situation,There is very little celebration on such occasions.
8/14/2021 16:29:46,24,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,37,3,1,Urban Area,2,"More than 100,000 BDT",Asymptomatic,No,Close & Manageable.,It is the same as before the lockdown period,Agree,Neutral,Agree,I haven't paid attention.,I haven't paid attention.,I haven't paid attention.,Agree,Usually leave it to the elders of the family to deal with it.,We all celebrate together and hope for an even better thing in the future.
8/14/2021 20:09:24,22,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,30,3,2,Urban Area,1,"More than 100,000 BDT",Yes,No,Far but Manageable,It has slightly increased during the lockdown period,Strongly Agree,Agree,Agree,I don't feel like there is.,Not at all.,There hasn't been any major issue that would cause a fight.,Strongly Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/14/2021 20:19:13,23,Male,Unmarried,Student,"10,000 - 39,000 BDT",Extended Family,9,35,7,2,Suburban Area,3,"40,000 - 69,999 BDT",No,No,Close but Hard to Manage,It has slightly decreased during the lockdown period,Neutral,Disagree,Disagree,I do feel it sometimes.,I do feel it most of the time.,Problems are often resolved before fights break out.,Neutral,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/14/2021 20:25:15,24,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,30,2,0,Suburban Area,1,"40,000 - 69,999 BDT",No,No,Far but Manageable,It has increased a lot during the lockdown period,Agree,Agree,Agree,I don't feel like there is.,Not at all.,Problems are often resolved before fights break out.,Strongly Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,There is very little celebration on such occasions.
8/14/2021 20:28:40,24,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,3,55,3,1,Urban Area,2,"More than 100,000 BDT",No,Yes,Close & Manageable.,It has slightly increased during the lockdown period,Agree,Disagree,Agree,I do feel it most of the time.,I haven't paid attention.,There are fights sometimes.,Neutral,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,There is very little celebration on such occasions.
8/14/2021 20:38:29,24,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,9,27,6,3,Suburban Area,2,"10,000 - 39,000 BDT",No,No,Close & Manageable.,It is the same as before the lockdown period,Agree,Neutral,Agree,I do feel it sometimes.,Not at all.,There hasn't been any major issue that would cause a fight.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/14/2021 20:43:52,22,Male,Unmarried,Student,I do not have any income at the moment,Extended Family,10,35,9,1,Urban Area,2,"40,000 - 69,999 BDT",No,No,Close & Manageable.,It has slightly increased during the lockdown period,Strongly Agree,Disagree,Agree,I do feel it sometimes.,I do feel it sometimes.,There hasn't been any major issue that would cause a fight.,Strongly Agree,Usually leave it to the elders of the family to deal with it.,We all celebrate together and hope for an even better thing in the future.
8/14/2021 20:48:04,22,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,3,35,1,1,Urban Area,1,"10,000 - 39,000 BDT",No,No,Close & Manageable.,It has slightly increased during the lockdown period,Agree,Agree,Agree,Not at all.,Not at all.,Problems are often resolved before fights break out.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/14/2021 20:50:58,24,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,38,4,0,Urban Area,1,"70,000 - 100,000 BDT",Yes,No,Far but Manageable,It is the same as before the lockdown period,Disagree,Strongly Disagree,Agree,I do feel it most of the time.,I do feel it most of the time.,There hasn't been any major issue that would cause a fight.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,There is very little celebration on such occasions.
